Date,Course,Percentage
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,22%
2018-03-05,AGILITY,20%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,80%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,94%
2018-03-05,AGILITY,20%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,96%
2018-03-05,AGILITY,100%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,10%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,14%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,22%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,63%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,18%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,92%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,92%
2018-03-05,AGILITY,20%
2018-03-05,AGILITY,2%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,96%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,6%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,100%
2018-03-05,AGILITY,4%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,22%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,86%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,100%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,20%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,39%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,14%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,100%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,100%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,47%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,100%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,100%
2018-03-05,AGILITY,18%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,10%
2018-03-05,AGILITY,100%
2018-03-05,AGILITY,20%
2018-03-05,AGILITY,6%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,45%
2018-03-05,AGILITY,100%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,98%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,98%
2018-03-05,AGILITY,73%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,45%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,94%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,98%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,22%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,4%
2018-03-05,AGILITY,43%
2018-03-05,AGILITY,0%
2018-03-05,AGILITY,100%
