Date,Course,Percentage
2018-03-05,AGILITY,0.00
2018-03-05,AGILITY,0.00
2018-03-05,AGILITY,0.00
2018-03-05,AGILITY,0.22
2018-03-05,AGILITY,0.20
2018-03-05,AGILITY,0.00
2018-03-05,AGILITY,0.80
2018-03-05,AGILITY,0.00
2018-03-05,AGILITY,0.00
2018-03-05,AGILITY,0.00
2018-03-05,AGILITY,0.94
2018-03-05,AGILITY,0.20
2018-03-05,AGILITY,0.00
2018-03-05,AGILITY,0.00
2018-03-05,AGILITY,0.96
2018-03-05,AGILITY,1.00
2018-03-05,AGILITY,0.00
2018-03-05,AGILITY,0.00
2018-03-05,AGILITY,0.00
2018-03-05,AGILITY,0.10
2018-03-05,AGILITY,0.00
2018-03-05,AGILITY,0.00
2018-03-05,AGILITY,0.00
2018-03-05,AGILITY,0.00
2018-03-05,AGILITY,0.00
2018-03-05,AGILITY,0.00
2018-03-05,AGILITY,0.00
2018-03-05,AGILITY,0.00
2018-03-05,AGILITY,0.00
2018-03-05,AGILITY,0.00
2018-03-05,AGILITY,0.00
2018-03-05,AGILITY,0.14
2018-03-05,AGILITY,0.00
2018-03-05,AGILITY,0.22
2018-03-05,AGILITY,0.00
2018-03-05,AGILITY,0.63
2018-03-05,AGILITY,0.00
2018-03-05,AGILITY,0.00
2018-03-05,AGILITY,0.00
2018-03-05,AGILITY,0.00
2018-03-05,AGILITY,0.18
2018-03-05,AGILITY,0.00
2018-03-05,AGILITY,0.00
2018-03-05,AGILITY,0.00
2018-03-05,AGILITY,0.00
2018-03-05,AGILITY,0.00
2018-03-05,AGILITY,0.00
2018-03-05,AGILITY,0.92
2018-03-05,AGILITY,0.00
2018-03-05,AGILITY,0.00
2018-03-05,AGILITY,0.00
2018-03-05,AGILITY,0.00
2018-03-05,AGILITY,0.00
2018-03-05,AGILITY,0.00
2018-03-05,AGILITY,0.00
2018-03-05,AGILITY,0.92
2018-03-05,AGILITY,0.20
2018-03-05,AGILITY,0.02
2018-03-05,AGILITY,0.00
2018-03-05,AGILITY,0.00
