Course,Date,Number
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0.22
AGILITY,2018-03-05,0.2
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0.8
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0.94
AGILITY,2018-03-05,0.2
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0.96
AGILITY,2018-03-05,1
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0.1
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0.14
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0.22
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0.63
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0.18
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0.92
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0.92
AGILITY,2018-03-05,0.2
AGILITY,2018-03-05,0.02
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0.96
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0.06
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0
AGILITY,2018-03-05,1
AGILITY,2018-03-05,0.04
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0.22
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0.86
AGILITY,2018-03-05,0
AGILITY,2018-03-05,1
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0.2
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0.39
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0.14
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0
AGILITY,2018-03-05,1
AGILITY,2018-03-05,0
AGILITY,2018-03-05,1
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0.47
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0
AGILITY,2018-03-05,1
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0
AGILITY,2018-03-05,1
AGILITY,2018-03-05,0.18
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0.1
AGILITY,2018-03-05,1
AGILITY,2018-03-05,0.2
AGILITY,2018-03-05,0.06
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0.45
AGILITY,2018-03-05,1
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0.98
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0.98
AGILITY,2018-03-05,0.73
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0.45
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0.94
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0.98
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0.22
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0.04
AGILITY,2018-03-05,0.43
AGILITY,2018-03-05,0
AGILITY,2018-03-05,1
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0.02
AGILITY,2018-03-05,0.02
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0.96
AGILITY,2018-03-05,0
AGILITY,2018-03-05,0
