COUNTRY,NUMBER,DATE
Brazil,416,2018-04-05
Germany,340,2018-04-06
United States,299,2018-04-07
India,155,2018-04-08
Poland,131,2018-04-09
Egypt,95,2018-04-10
Nigeria,57,2018-04-11
United Kingdom,56,2018-04-12
Romania,46,2018-04-13
Italy,34,2018-04-14
Indonesia,31,2018-04-15
Canada,31,2018-04-16
Phillippines,30,2018-04-17
Portugal,29,2018-04-18
Greece,28,2018-04-19
Spain,27,2018-04-20
Pakistan,27,2018-04-21
Turkey,24,2018-04-22
Hungary,20,2018-04-23
Mexico,18,2018-04-24
The Netherlands,18,2018-04-25
Croatia,17,2018-04-26
Austria,17,2018-04-27
France,16,2018-04-28
Ireland,15,2018-04-29
Czech Republic,15,2018-04-30
Nepal,14,2018-05-01
Russia,14,2018-05-02
Singapore,14,2018-05-03
Taiwan,13,2018-05-04
Israel,12,2018-05-05
Australia,12,2018-05-06
China,11,2018-05-07
Ghana,11,2018-05-08
Vietnam,10,2018-05-09
Thailand,10,2018-05-10
Belgium,10,2018-05-11
Switzerland,10,2018-05-12
Finland,9,2018-05-13
Kenya,9,2018-05-14
South Africa,9,2018-05-15
Bulgaria,9,2018-05-16
Ukraine,9,2018-05-17
Sweden,9,2018-05-18
Lithuania,9,2018-05-19
Latvia,8,2018-05-20
Bangladesh,8,2018-05-21
Hong Kong,8,2018-05-22
Palestine,7,2018-05-23
Norway,7,2018-05-24
Costa Rica,7,2018-05-25
Tunisia,7,2018-05-26
Algeria,6,2018-05-27
Japan,6,2018-05-28
Jordan,6,2018-05-29
Slovenia,6,2018-05-30
Estonia,6,2018-05-31
Rwanda,5,2018-06-01
Peru,5,2018-06-02
Luxembourg,5,2018-06-03
Morocco,5,2018-06-04
Cameroon,5,2018-06-05
Sri Lanka,5,2018-06-06
Netherlands,5,2018-06-07
Bolivia,5,2018-06-08
Republic of Korea,5,2018-06-09
Denmark,4,2018-06-10
Argentina,4,2018-06-11
Colombia,4,2018-06-12
Dominican Republic,3,2018-06-13
Macedonia,3,2018-06-14
Iraq,3,2018-06-15
Slovakia,3,2018-06-16
Armenia,3,2018-06-17
Uzbekistan,3,2018-06-18
Zimbabwe,3,2018-06-19
Tanzania,3,2018-06-20
El Salvador,2,2018-06-21
The Bahamas,2,2018-06-22
Vietnam,2,2018-06-23
Kosovo,2,2018-06-24
North Cyprus,2,2018-06-25
Paraguay,2,2018-06-26
Saudia Arabia,2,2018-06-27
Palestine,2,2018-06-28
Kuwait,2,2018-06-29
Libya,2,2018-06-30
Sudan,2,2018-07-01
Belarus,2,2018-07-02
Niacaragua,1,2018-07-03
Iran,1,2018-07-04
Niger,1,2018-07-05
Guatemala,1,2018-07-06
Ecuador,1,2018-07-07
South Korea,1,2018-07-08
Panama,1,2018-07-09
Cambodia,1,2018-07-10
Lesotho,1,2018-07-11
Ethiopia,1,2018-07-12
Uruguay,1,2018-07-13
