DATE,COUNTRY,NUMBER
2/25/18,Andorra,1
2/25/18,Argentina,3
2/25/18,Australia,16
2/25/18,Austria,2
2/25/18,Belgium,8
2/25/18,Brazil,5
2/25/18,Canada,10
2/25/18,Chile,2
2/25/18,China,6
2/25/18,Colombia,2
2/25/18,Croatia,1
2/25/18,Denmark,1
2/25/18,Ecuador,1
2/25/18,El Salvador,1
2/25/18,France,7
2/25/18,Germany,26
2/25/18,Ghana,1
2/25/18,Greece,3
2/25/18,Hong Kong,7
2/25/18,Hungary,2
2/25/18,Iceland,1
2/25/18,India,19
2/25/18,Indonesia,2
2/25/18,Ireland,2
2/25/18,Italy,9
2/25/18,Japan,2
2/25/18,Kazakhstan,1
2/25/18,"Korea, South",1
2/25/18,Liberia,1
2/25/18,Lithuania,1
2/25/18,Luxembourg,1
2/25/18,Malaysia,4
2/25/18,Mauritius,2
2/25/18,Mexico,5
2/25/18,Morocco,1
2/25/18,Netherlands,10
2/25/18,New Zealand,1
2/25/18,Nigeria,1
2/25/18,Norway,4
2/25/18,Pakistan,2
2/25/18,Peru,3
2/25/18,Philippines,1
2/25/18,Poland,1
2/25/18,Portugal,1
2/25/18,Romania,2
2/25/18,Russia,1
2/25/18,Serbia,2
2/25/18,Singapore,8
2/25/18,Slovenia,1
2/25/18,Spain,18
2/25/18,Switzerland,11
2/25/18,Turkey,1
2/25/18,United Arab Emirates,1
2/25/18,United Kingdom,38
2/25/18,United States,52
3/12/18,United States,59
3/12/18,United Kingdom,40
3/12/18,Germany,29
3/12/18,India,24
3/12/18,Spain,20
3/12/18,Australia,16
3/12/18,Netherlands,14
3/12/18,Denmark,14
3/12/18,Switzerland,12
3/12/18,Singapore,10
3/12/18,Canada,10
3/12/18,Hong Kong,9
3/12/18,Italy,9
3/12/18,Belgium,8
3/12/18,France,8
3/12/18,China,7
3/12/18,Norway,6
3/12/18,Brazil,6
3/12/18,Greece,5
3/12/18,Mexico,5
3/12/18,Portugal,5
3/12/18,Indonesia,4
3/12/18,Malaysia,4
3/12/18,Argentina,3
3/12/18,Sweden,3
3/12/18,Austria,3
3/12/18,Peru,3
3/12/18,New Zealand,2
3/12/18,Chile,2
3/12/18,Pakistan,2
3/12/18,Japan,2
3/12/18,Iceland,2
3/12/18,Philippines,2
3/12/18,Serbia,2
3/12/18,Mauritius,2
3/12/18,Ireland,2
3/12/18,Hungary,2
3/12/18,Romania,2
3/12/18,Turkey,2
3/12/18,Ecuador,2
3/12/18,Colombia,2
3/12/18,Poland,1
3/12/18,Christmas Island,1
3/12/18,Côte D'ivoire,1
3/12/18,Andorra,1
3/12/18,South Africa,1
3/12/18,Luxembourg,1
3/12/18,Czech Republic,1
3/12/18,Lithuania,1
3/12/18,Slovenia,1
3/12/18,Myanmar,1
3/12/18,Thailand,1
3/12/18,Sri Lanka,1
3/12/18,El Salvador,1
3/12/18,Morocco,1
3/12/18,Croatia,1
3/12/18,Kenya,1
3/12/18,Russian Federation,1
3/12/18,Kazakhstan,1
3/12/18,Nigeria,1
3/12/18,United Arab Emirates,1
3/12/18,"Korea, Republic of",1
3/12/18,Liberia,1
3/12/18,Ghana,1
